atlasdesignation otherdesignation           ra          dec spectraltype earliestmjd tnsname closebrightRA closebrightDec     MJDpreSN
             NaN              NaN    332.05895   -25.061447          NaN         NaN 2018dda           NaN            NaN 58303.960000
             NaN              NaN   330.173783    19.666128          NaN         NaN 2018dzy           NaN            NaN 58315.593993
             NaN              NaN   307.148208     25.73565          NaN         NaN 2018ebk           NaN            NaN 58315.551991
             NaN              NaN    54.896287    -6.325108          NaN         NaN 2018ddi           NaN            NaN 58301.440000
             NaN              NaN    229.86925    -9.880539          NaN         NaN 2018enc           NaN            NaN 58332.326991
             NaN              NaN   352.471729    27.378019          NaN         NaN 2018epx           NaN            NaN 58335.605000
             NaN              NaN   243.586167     3.231969          NaN         NaN 2018etm           NaN            NaN 58338.342998
             NaN              NaN   257.546542    21.649061          NaN         NaN 2018feb           NaN            NaN 58346.163993
             NaN              NaN     18.82545    -6.859039          NaN         NaN 2018fop           NaN            NaN 58351.568993
             NaN              NaN   239.548721    19.765197          NaN         NaN 2018fli           NaN            NaN 58343.151991
             NaN              NaN   303.124875       -44.11          NaN         NaN 2018fnq           NaN            NaN 58361.080000
             NaN              NaN     96.15825   -23.733069          NaN         NaN 2018fhx           NaN            NaN 58351.380000
            <NA>             <NA> 309.36570833 -37.72143056         <NA>         NaN 2018fvm          <NA>           <NA> 58367.348993
