Sector,Orbit,Orbit_Start,Orbit_End,Camera,Cam_RA,Cam_Dec,Cam_Roll,ID
8.0,24.0,58529.76388888889,58541.506944444445,2,133.69,-26.70,248.30,24.0_2
8.0,24.0,58529.76388888889,58541.506944444445,3,120.60,-48.42,60.15,24.0_3
8.0,24.0,58529.76388888889,58541.506944444445,4,90.00,-66.56,33.85,24.0_4
9.0,25.0,58542.72222222222,58555.04861111111,1,165.70,-13.46,246.09,25.0_1
9.0,25.0,58542.72222222222,58555.04861111111,2,154.09,-35.04,241.22,25.0_2
9.0,25.0,58542.72222222222,58555.04861111111,3,134.27,-54.73,46.95,25.0_3
9.0,25.0,58542.72222222222,58555.04861111111,4,90.00,-66.56,7.72,25.0_4
9.0,26.0,58556.229166666664,58567.98263888889,1,165.70,-13.46,246.09,26.0_1
9.0,26.0,58556.229166666664,58567.98263888889,2,154.09,-35.04,241.22,26.0_2
9.0,26.0,58556.229166666664,58567.98263888889,3,134.27,-54.73,46.95,26.0_3
9.0,26.0,58556.229166666664,58567.98263888889,4,90.00,-66.56,7.72,26.0_4
10.0,27.0,58568.9375,58581.291666666664,1,189.90,-23.89,245.67,27.0_1
10.0,27.0,58568.9375,58581.291666666664,2,176.16,-45.14,237.72,27.0_2
10.0,27.0,58568.9375,58581.291666666664,3,147.70,-62.89,34.26,27.0_3
10.0,27.0,58568.9375,58581.291666666664,4,90.00,-66.56,341.28,27.0_4
10.0,28.0,58582.26736111111,58595.1875,1,189.90,-23.89,245.67,28.0_1
10.0,28.0,58582.26736111111,58595.1875,2,176.16,-45.14,237.72,28.0_2
10.0,28.0,58582.26736111111,58595.1875,3,147.70,-62.89,34.26,28.0_3
10.0,28.0,58582.26736111111,58595.1875,4,90.00,-66.56,341.28,28.0_4
11.0,29.0,58596.27777777778,58609.20138888889,1,217.30,-33.73,250.57,29.0_1
11.0,29.0,58596.27777777778,58609.20138888889,2,203.40,-55.72,240.58,29.0_2
11.0,29.0,58596.27777777778,58609.20138888889,3,161.39,-72.63,22.06,29.0_3
11.0,29.0,58596.27777777778,58609.20138888889,4,90.00,-66.56,314.08,29.0_4
11.0,30.0,58610.28125,58623.399305555555,1,217.30,-33.73,250.57,30.0_1
11.0,30.0,58610.28125,58623.399305555555,2,203.40,-55.72,240.58,30.0_2
11.0,30.0,58610.28125,58623.399305555555,3,161.39,-72.63,22.06,30.0_3
11.0,30.0,58610.28125,58623.399305555555,4,90.00,-66.56,314.08,30.0_4
12.0,31.0,58624.45486111111,58638.50347222222,1,249.34,-40.26,261.51,31.0_1
12.0,31.0,58624.45486111111,58638.50347222222,2,241.52,-63.82,255.21,31.0_2
12.0,31.0,58624.45486111111,58638.50347222222,3,177.30,-83.38,12.37,31.0_3
12.0,31.0,58624.45486111111,58638.50347222222,4,90.01,-66.56,286.45,31.0_4
12.0,32.0,58639.538194444445,58652.399305555555,1,249.34,-40.26,261.51,32.0_1
12.0,32.0,58639.538194444445,58652.399305555555,2,241.52,-63.82,255.21,32.0_2
12.0,32.0,58639.538194444445,58652.399305555555,3,177.30,-83.38,12.37,32.0_3
12.0,32.0,58639.538194444445,58652.399305555555,4,90.01,-66.56,286.45,32.0_4
13.0,33.0,58653.42013888889,58667.197916666664,1,284.05,-40.90,275.82,33.0_1
13.0,33.0,58653.42013888889,58667.197916666664,2,289.59,-64.68,280.33,33.0_2
13.0,33.0,58653.42013888889,58667.197916666664,3,357.94,-85.50,167.75,33.0_3
13.0,33.0,58653.42013888889,58667.197916666664,4,90.01,-66.56,258.88,33.0_4
13.0,34.0,58668.125,58681.864583333336,1,284.05,-40.90,275.82,34.0_1
13.0,34.0,58668.125,58681.864583333336,2,289.59,-64.68,280.33,34.0_2
13.0,34.0,58668.125,58681.864583333336,3,357.94,-85.50,167.75,34.0_3
13.0,34.0,58668.125,58681.864583333336,4,90.01,-66.56,258.88,34.0_4
14.0,35.0,58682.854166666664,58695.895833333336,1,297.76,29.19,106.40,35.0_1
14.0,35.0,58682.854166666664,58695.895833333336,2,287.05,51.83,113.50,35.0_2
14.0,35.0,58682.854166666664,58695.895833333336,3,256.18,71.57,321.23,35.0_3
14.0,35.0,58682.854166666664,58695.895833333336,4,174.64,71.30,39.75,35.0_4
14.0,36.0,58696.84375,58709.711805555555,1,297.76,29.19,106.40,36.0_1
14.0,36.0,58696.84375,58709.711805555555,2,287.05,51.83,113.50,36.0_2
14.0,36.0,58696.84375,58709.711805555555,3,256.18,71.57,321.23,36.0_3
14.0,36.0,58696.84375,58709.711805555555,4,174.64,71.30,39.75,36.0_4
15.0,37.0,58710.864583333336,58723.364583333336,1,316.91,35.57,116.28,37.0_1
15.0,37.0,58710.864583333336,58723.364583333336,2,298.18,55.90,129.96,37.0_2
15.0,37.0,58710.864583333336,58723.364583333336,3,252.38,68.63,351.20,37.0_3
15.0,37.0,58710.864583333336,58723.364583333336,4,196.75,60.86,42.32,37.0_4
15.0,38.0,58724.44097222222,58736.916666666664,1,316.91,35.57,116.28,38.0_1
15.0,38.0,58724.44097222222,58736.916666666664,2,298.18,55.90,129.96,38.0_2
15.0,38.0,58724.44097222222,58736.916666666664,3,252.38,68.63,351.20,38.0_3
15.0,38.0,58724.44097222222,58736.916666666664,4,196.75,60.86,42.32,38.0_4
16.0,39.0,58738.15277777778,58749.864583333336,1,336.08,44.14,123.65,39.0_1
16.0,39.0,58738.15277777778,58749.864583333336,2,307.85,61.55,146.58,39.0_2
16.0,39.0,58738.15277777778,58749.864583333336,3,252.91,65.50,16.51,39.0_3
16.0,39.0,58738.15277777778,58749.864583333336,4,214.06,51.57,50.23,39.0_4
16.0,40.0,58751.15625,58762.82638888889,1,336.08,44.14,123.65,40.0_1
16.0,40.0,58751.15625,58762.82638888889,2,307.85,61.55,146.58,40.0_2
16.0,40.0,58751.15625,58762.82638888889,3,252.91,65.50,16.51,40.0_3
16.0,40.0,58751.15625,58762.82638888889,4,214.06,51.57,50.23,40.0_4
17.0,41.0,58764.18402777778,58775.802083333336,1,17.39,26.89,113.52,41.0_1
17.0,41.0,58764.18402777778,58775.802083333336,2,3.29,48.23,122.30,41.0_2
17.0,41.0,58764.18402777778,58775.802083333336,3,331.60,65.56,329.33,41.0_3
17.0,41.0,58764.18402777778,58775.802083333336,4,270.00,66.57,26.51,41.0_4
17.0,42.0,58777.229166666664,58789.20138888889,1,17.39,26.89,113.52,42.0_1
17.0,42.0,58777.229166666664,58789.20138888889,2,3.29,48.23,122.30,42.0_2
17.0,42.0,58777.229166666664,58789.20138888889,3,331.60,65.56,329.33,42.0_3
17.0,42.0,58777.229166666664,58789.20138888889,4,270.00,66.57,26.51,42.0_4
18.0,43.0,58790.15625,58801.947916666664,1,44.14,35.61,107.46,43.0_1
18.0,43.0,58790.15625,58801.947916666664,2,30.86,57.93,117.35,43.0_2
18.0,43.0,58790.15625,58801.947916666664,3,344.62,75.00,340.53,43.0_3
18.0,43.0,58790.15625,58801.947916666664,4,270.00,66.56,52.16,43.0_4
18.0,44.0,58802.947916666664,58814.538194444445,1,44.14,35.61,107.46,44.0_1
18.0,44.0,58802.947916666664,58814.538194444445,2,30.86,57.93,117.35,44.0_2
18.0,44.0,58802.947916666664,58814.538194444445,3,344.62,75.00,340.53,44.0_3
18.0,44.0,58802.947916666664,58814.538194444445,4,270.00,66.56,52.16,44.0_4
19.0,45.0,58815.583333333336,58827.5,1,75.35,40.85,96.07,45.0_1
19.0,45.0,58815.583333333336,58827.5,2,69.59,64.62,100.76,45.0_2
19.0,45.0,58815.583333333336,58827.5,3,1.54,85.31,347.82,45.0_3
19.0,45.0,58815.583333333336,58827.5,4,270.00,66.56,78.40,45.0_4
19.0,46.0,58828.46527777778,58840.65625,1,75.35,40.85,96.07,46.0_1
19.0,46.0,58828.46527777778,58840.65625,2,69.59,64.62,100.76,46.0_2
19.0,46.0,58828.46527777778,58840.65625,3,1.54,85.31,347.82,46.0_3
19.0,46.0,58828.46527777778,58840.65625,4,270.00,66.56,78.40,46.0_4
20.0,47.0,58842.00347222222,58854.364583333336,1,110.05,40.33,81.75,47.0_1
20.0,47.0,58842.00347222222,58854.364583333336,2,117.67,63.91,75.61,47.0_2
20.0,47.0,58842.00347222222,58854.364583333336,3,182.33,83.58,192.29,47.0_3
20.0,47.0,58842.00347222222,58854.364583333336,4,270.00,66.56,105.95,47.0_4
20.0,48.0,58855.895833333336,58868.32986111111,1,110.05,40.33,81.75,48.0_1
20.0,48.0,58855.895833333336,58868.32986111111,2,117.67,63.91,75.61,48.0_2
20.0,48.0,58855.895833333336,58868.32986111111,3,182.33,83.58,192.29,48.0_3
20.0,48.0,58855.895833333336,58868.32986111111,4,270.00,66.56,105.95,48.0_4
21.0,49.0,58869.93402777778,58883.5,1,143.64,33.45,70.32,49.0_1
21.0,49.0,58869.93402777778,58883.5,2,157.60,55.40,60.34,49.0_2
21.0,49.0,58869.93402777778,58883.5,3,199.06,72.30,202.43,49.0_3
21.0,49.0,58869.93402777778,58883.5,4,270.00,66.56,134.95,49.0_4
21.0,50.0,58884.42361111111,58897.288194444445,1,143.64,33.45,70.32,50.0_1
21.0,50.0,58884.42361111111,58897.288194444445,2,157.60,55.40,60.34,50.0_2
21.0,50.0,58884.42361111111,58897.288194444445,3,199.06,72.30,202.43,50.0_3
21.0,50.0,58884.42361111111,58897.288194444445,4,270.00,66.56,134.95,50.0_4
22.0,51.0,58898.805555555555,58912.010416666664,1,172.75,22.78,65.49,51.0_1
22.0,51.0,58898.805555555555,58912.010416666664,2,186.32,44.03,57.86,51.0_2
22.0,51.0,58898.805555555555,58912.010416666664,3,213.72,61.95,215.57,51.0_3
22.0,51.0,58898.805555555555,58912.010416666664,4,270.00,66.56,164.08,51.0_4
22.0,52.0,58913.072916666664,58926.0,1,172.75,22.78,65.49,52.0_1
22.0,52.0,58913.072916666664,58926.0,2,186.32,44.03,57.86,52.0_2
22.0,52.0,58913.072916666664,58926.0,3,213.72,61.95,215.57,52.0_3
22.0,52.0,58913.072916666664,58926.0,4,270.00,66.56,164.08,52.0_4
23.0,53.0,58927.604166666664,58940.37847222222,1,198.43,11.69,66.62,53.0_1
23.0,53.0,58927.604166666664,58940.37847222222,2,209.58,33.41,62.26,53.0_2
23.0,53.0,58927.604166666664,58940.37847222222,3,228.13,53.47,229.25,53.0_3
23.0,53.0,58927.604166666664,58940.37847222222,4,270.00,66.56,192.35,53.0_4
23.0,54.0,58941.336805555555,58954.381944444445,1,198.43,11.69,66.62,54.0_1
23.0,54.0,58941.336805555555,58954.381944444445,2,209.58,33.41,62.26,54.0_2
23.0,54.0,58941.336805555555,58954.381944444445,3,228.13,53.47,229.25,54.0_3
23.0,54.0,58941.336805555555,58954.381944444445,4,270.00,66.56,192.35,54.0_4
24.0,55.0,58955.29513888889,58967.854166666664,1,233.47,31.76,68.84,55.0_1
24.0,55.0,58955.29513888889,58967.854166666664,2,247.74,53.46,58.98,55.0_2
24.0,55.0,58955.29513888889,58967.854166666664,3,286.20,70.30,204.43,55.0_3
24.0,55.0,58955.29513888889,58967.854166666664,4,354.22,66.46,140.21,55.0_4
24.0,56.0,58968.770833333336,58981.788194444445,1,233.47,31.76,68.84,56.0_1
24.0,56.0,58968.770833333336,58981.788194444445,2,247.74,53.46,58.98,56.0_2
24.0,56.0,58968.770833333336,58981.788194444445,3,286.20,70.30,204.43,56.0_3
24.0,56.0,58968.770833333336,58981.788194444445,4,354.22,66.46,140.21,56.0_4
25.0,57.0,58983.131944444445,58995.14236111111,1,252.26,27.06,79.35,57.0_1
25.0,57.0,58983.131944444445,58995.14236111111,2,259.05,50.49,75.01,57.0_2
25.0,57.0,58983.131944444445,58995.14236111111,3,279.77,72.71,236.40,57.0_3
25.0,57.0,58983.131944444445,58995.14236111111,4,22.74,76.64,135.42,57.0_4
25.0,58.0,58996.416666666664,59008.8125,1,252.26,27.06,79.35,58.0_1
25.0,58.0,58996.416666666664,59008.8125,2,259.05,50.49,75.01,58.0_2
25.0,58.0,58996.416666666664,59008.8125,3,279.77,72.71,236.40,58.0_3
25.0,58.0,58996.416666666664,59008.8125,4,22.74,76.64,135.42,58.0_4
26.0,59.0,59009.76736111111,59021.697916666664,1,270.53,25.56,90.32,59.0_1
26.0,59.0,59009.76736111111,59021.697916666664,2,270.33,49.56,90.44,59.0_2
26.0,59.0,59009.76736111111,59021.697916666664,3,269.69,73.56,271.02,59.0_3
26.0,59.0,59009.76736111111,59021.697916666664,4,92.83,82.43,87.82,59.0_4
26.0,60.0,59022.614583333336,59034.64236111111,1,270.53,25.56,90.32,60.0_1
